"""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""Microondas""
48:F8:B3:22:4D:4B","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""AP_1612927617""
BC:54:F9:FC:7F:60","""CE5CFB""
98:FC:11:E2:A6:A5","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Baxter""
EC:22:80:F3:EB:EA","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Docentes FI""
0E:18:D6:CB:01:A4","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Vibraciones""
50:C7:BF:DD:C3:B3","""Die231""
EC:08:6B:42:B5:4A"
['-67'],['-61'],['-73'],['-59'],['-61'],['-63'],['-65'],['-35'],['-61'],['-73'],['-69'],['-79'],['-65'],['-61'],['-67'],['-77'],['-81']
['-67'],['-67'],['-67'],['-57'],['-61'],['-63'],['-67'],['-37'],['-61'],['-69'],['-69'],['-79'],['-65'],['-61'],['-67'],['-77'],['-81']
['-63'],['-67'],['-71'],['-59'],['-61'],['-63'],['-67'],['-37'],['-61'],['-69'],['-69'],['-79'],['-61'],['-61'],['-69'],['-75'],['-81']
['-65'],['-63'],['-65'],['-59'],['-65'],['-65'],['-67'],['-35'],['-61'],['-69'],['-69'],['-79'],['-65'],['-59'],['-69'],['-81'],['-81']
['-69'],['-65'],['-65'],['-59'],['-61'],['-65'],['-67'],['-37'],['-59'],['-69'],['-79'],['-79'],['-67'],['-61'],['-67'],['-81'],['-79']
['-69'],['-65'],['-69'],['-57'],['-69'],['-61'],['-63'],['-35'],['-55'],['-69'],['-63'],['-79'],['-63'],['-61'],['-65'],['-69'],['-79']
['-65'],['-61'],['-65'],['-57'],['-69'],['-59'],['-63'],['-39'],['-59'],['-67'],['-69'],['-79'],['-63'],['-61'],['-77'],['-69'],['-79']
['-67'],['-65'],['-65'],['-59'],['-69'],['-63'],['-67'],['-37'],['-59'],['-61'],['-65'],['-79'],['-63'],['-61'],['-71'],['-69'],['-81']
['-61'],['-61'],['-65'],['-59'],['-63'],['-63'],['-63'],['-37'],['-61'],['-61'],['-67'],['-79'],['-61'],['-63'],['-67'],['-69'],['-81']
['-69'],['-61'],['-67'],['-59'],['-63'],['-63'],['-67'],['-37'],['-61'],['-61'],['-61'],['-79'],['-65'],['-61'],['-67'],['-69'],['-81']
['-67'],['-61'],['-67'],['-59'],['-63'],['-63'],['-63'],['-37'],['-61'],['-61'],['-69'],['-79'],['-65'],['-63'],['-83'],['-77'],['-83']
['-69'],['-61'],['-67'],['-57'],['-61'],['-63'],['-63'],['-37'],['-61'],['-67'],['-69'],['-79'],['-65'],['-63'],['-65'],['-81'],['-83']
['-63'],['-63'],['-67'],['-73'],['-63'],['-63'],['-65'],['-37'],['-59'],['-69'],['-69'],['-79'],['-65'],['-63'],['-61'],['-73'],['-83']
['-67'],['-63'],['-69'],['-59'],['-69'],['-59'],['-65'],['-35'],['-61'],['-65'],['-65'],['-79'],['-65'],['-65'],['-67'],['-73'],['-83']
['-65'],['-63'],['-71'],['-59'],['-69'],['-61'],['-65'],['-35'],['-61'],['-65'],['-65'],['-79'],['-63'],['-63'],['-67'],['-73'],['-83']
['-67'],['-63'],['-67'],['-59'],['-63'],['-61'],['-65'],['-35'],['-59'],['-69'],['-67'],['-79'],['-65'],['-65'],['-67'],['-75'],['-73']
['-67'],['-63'],['-67'],['-61'],['-63'],['-63'],['-65'],['-37'],['-59'],['-69'],['-67'],['-79'],['-65'],['-63'],['-59'],['-75'],['-73']
['-65'],['-63'],['-67'],['-59'],['-63'],['-59'],['-67'],['-35'],['-59'],['-69'],['-69'],['-79'],['-67'],['-63'],['-59'],['-83'],['-73']
['-69'],['-61'],['-65'],['-59'],['-63'],['-63'],['-79'],['-79'],['-61'],['-69'],['-69'],['-79'],['-67'],['-63'],['-73'],['-75'],['-79']
['-69'],['-61'],['-67'],['-59'],['-63'],['-63'],['-79'],['-79'],['-61'],['-69'],['-69'],['-79'],['-67'],['-63'],['-73'],['-75'],['-79']
['-69'],['-61'],['-67'],['-59'],['-63'],['-63'],['-79'],['-79'],['-61'],['-69'],['-69'],['-69'],['-67'],['-63'],['-67'],['-75'],['-79']
['-65'],['-55'],['-61'],['-59'],['-65'],['-63'],['-79'],['-79'],['-61'],['-57'],['-69'],['-69'],['-67'],['-63'],['-67'],['-75'],['-79']
['-69'],['-63'],['-69'],['-57'],['-61'],['-59'],['-63'],['-35'],['-61'],['-57'],['-69'],['-69'],['-63'],['-65'],['-67'],['-75'],['-79']
['-67'],['-63'],['-67'],['-59'],['-65'],['-61'],['-63'],['-35'],['-61'],['-67'],['-65'],['-73'],['-63'],['-65'],['-65'],['-75'],['-79']
['-67'],['-61'],['-61'],['-57'],['-63'],['-59'],['-63'],['-35'],['-55'],['-67'],['-67'],['-73'],['-63'],['-63'],['-63'],['-75'],['-81']
['-67'],['-61'],['-65'],['-59'],['-63'],['-63'],['-63'],['-37'],['-59'],['-67'],['-67'],['-69'],['-63'],['-63'],['-63'],['-81'],['-81']
['-67'],['-63'],['-67'],['-61'],['-67'],['-59'],['-63'],['-37'],['-59'],['-67'],['-63'],['-69'],['-63'],['-63'],['-63'],['-81'],['-81']
['-67'],['-61'],['-67'],['-59'],['-63'],['-59'],['-63'],['-63'],['-59'],['-67'],['-63'],['-69'],['-59'],['-61'],['-63'],['-81'],['-81']
['-75'],['-61'],['-71'],['-59'],['-67'],['-87'],['-67'],['-39'],['-61'],['-67'],['-63'],['-69'],['-59'],['-61'],['-63'],['-81'],['-81']
['-69'],['-61'],['-71'],['-59'],['-69'],['-87'],['-61'],['-33'],['-59'],['-65'],['-69'],['-69'],['-65'],['-65'],['-63'],['-81'],['-81']
['-61'],['-61'],['-73'],['-59'],['-61'],['-59'],['-61'],['-37'],['-57'],['-67'],['-69'],['-69'],['-65'],['-65'],['-65'],['-79'],['-81']
['-67'],['-63'],['-63'],['-57'],['-63'],['-61'],['-67'],['-37'],['-61'],['-67'],['-71'],['-69'],['-65'],['-65'],['-61'],['-79'],['-81']
['-69'],['-63'],['-61'],['-57'],['-79'],['-61'],['-63'],['-37'],['-59'],['-67'],['-71'],['-69'],['-67'],['-65'],['-61'],['-75'],['-81']
['-67'],['-63'],['-61'],['-59'],['-61'],['-61'],['-63'],['-33'],['-61'],['-67'],['-71'],['-69'],['-67'],['-63'],['-61'],['-75'],['-81']
['-69'],['-63'],['-65'],['-57'],['-61'],['-61'],['-63'],['-37'],['-59'],['-67'],['-71'],['-69'],['-67'],['-63'],['-65'],['-75'],['-67']
['-63'],['-63'],['-65'],['-61'],['-61'],['-61'],['-63'],['-37'],['-59'],['-67'],['-71'],['-79'],['-67'],['-63'],['-65'],['-75'],['-67']
['-63'],['-63'],['-65'],['-59'],['-61'],['-59'],['-63'],['-33'],['-61'],['-61'],['-67'],['-79'],['-67'],['-63'],['-63'],['-75'],['-67']
['-67'],['-63'],['-69'],['-61'],['-61'],['-61'],['-63'],['-33'],['-59'],['-61'],['-67'],['-79'],['-67'],['-57'],['-63'],['-75'],['-67']
['-67'],['-63'],['-65'],['-61'],['-63'],['-57'],['-63'],['-35'],['-57'],['-61'],['-67'],['-79'],['-67'],['-57'],['-67'],['-75'],['-67']
['-67'],['-63'],['-65'],['-79'],['-61'],['-57'],['-59'],['-33'],['-59'],['-61'],['-67'],['-79'],['-67'],['-57'],['-67'],['-75'],['-67']
['-67'],['-63'],['-67'],['-61'],['-63'],['-57'],['-59'],['-37'],['-55'],['-69'],['-65'],['-79'],['-67'],['-61'],['-67'],['-75'],['-71']
['-65'],['-63'],['-65'],['-59'],['-63'],['-59'],['-65'],['-33'],['-55'],['-69'],['-65'],['-79'],['-67'],['-61'],['-61'],['-75'],['-71']
['-67'],['-63'],['-67'],['-59'],['-67'],['-59'],['-65'],['-37'],['-59'],['-69'],['-65'],['-79'],['-67'],['-59'],['-63'],['-75'],['-71']
['-59'],['-61'],['-63'],['-59'],['-63'],['-63'],['-65'],['-33'],['-61'],['-69'],['-67'],['-79'],['-65'],['-63'],['-65'],['-71'],['-77']
['-63'],['-61'],['-63'],['-59'],['-59'],['-63'],['-65'],['-35'],['-59'],['-63'],['-65'],['-79'],['-67'],['-63'],['-65'],['-71'],['-77']
['-67'],['-63'],['-65'],['-59'],['-63'],['-63'],['-65'],['-37'],['-59'],['-63'],['-69'],['-75'],['-65'],['-63'],['-59'],['-71'],['-75']
['-63'],['-63'],['-71'],['-59'],['-61'],['-59'],['-65'],['-33'],['-59'],['-61'],['-69'],['-75'],['-65'],['-59'],['-61'],['-79'],['-75']
['-67'],['-63'],['-67'],['-61'],['-61'],['-63'],['-65'],['-35'],['-59'],['-61'],['-69'],['-83'],['-65'],['-59'],['-59'],['-79'],['-77']
['-69'],['-63'],['-73'],['-57'],['-63'],['-63'],['-65'],['-35'],['-61'],['-61'],['-73'],['-83'],['-65'],['-61'],['-59'],['-79'],['-77']
['-67'],['-63'],['-69'],['-59'],['-73'],['-63'],['-65'],['-37'],['-59'],['-61'],['-67'],['-79'],['-65'],['-61'],['-67'],['-79'],['-79']
['-69'],['-63'],['-67'],['-59'],['-65'],['-59'],['-65'],['-35'],['-59'],['-61'],['-67'],['-79'],['-65'],['-61'],['-67'],['-79'],['-77']
['-67'],['-63'],['-69'],['-59'],['-63'],['-61'],['-63'],['-33'],['-57'],['-61'],['-67'],['-79'],['-63'],['-61'],['-67'],['-79'],['-75']
['-69'],['-63'],['-69'],['-59'],['-63'],['-61'],['-65'],['-33'],['-57'],['-61'],['-71'],['-75'],['-63'],['-61'],['-67'],['-77'],['-77']
['-67'],['-63'],['-73'],['-57'],['-63'],['-63'],['-65'],['-35'],['-59'],['-67'],['-63'],['-75'],['-63'],['-61'],['-67'],['-81'],['-77']
['-69'],['-63'],['-69'],['-59'],['-59'],['-61'],['-69'],['-37'],['-59'],['-67'],['-73'],['-75'],['-63'],['-61'],['-77'],['-81'],['-79']
['-69'],['-63'],['-69'],['-59'],['-65'],['-61'],['-67'],['-37'],['-59'],['-69'],['-69'],['-75'],['-63'],['-61'],['-67'],['-81'],['-79']
['-75'],['-63'],['-61'],['-59'],['-65'],['-59'],['-65'],['-37'],['-59'],['-69'],['-71'],['-75'],['-65'],['-61'],['-67'],['-81'],['-77']
['-77'],['-63'],['-73'],['-57'],['-63'],['-59'],['-63'],['-37'],['-57'],['-69'],['-69'],['-75'],['-65'],['-63'],['-67'],['-75'],['-77']
['-77'],['-63'],['-71'],['-59'],['-63'],['-61'],['-63'],['-37'],['-57'],['-69'],['-65'],['-75'],['-63'],['-59'],['-65'],['-77'],['-77']
['-63'],['-63'],['-63'],['-59'],['-63'],['-61'],['-61'],['-35'],['-57'],['-63'],['-69'],['-75'],['-61'],['-61'],['-71'],['-77'],['-77']
['-67'],['-63'],['-67'],['-59'],['-63'],['-61'],['-67'],['-37'],['-57'],['-69'],['-59'],['-75'],['-61'],['-59'],['-69'],['-77'],['-77']
['-69'],['-63'],['-65'],['-59'],['-63'],['-61'],['-67'],['-33'],['-59'],['-69'],['-71'],['-77'],['-61'],['-61'],['-61'],['-77'],['-79']
['-69'],['-61'],['-59'],['-59'],['-69'],['-59'],['-63'],['-37'],['-59'],['-69'],['-67'],['-77'],['-65'],['-61'],['-63'],['-77'],['-79']
['-67'],['-61'],['-65'],['-59'],['-69'],['-59'],['-65'],['-35'],['-59'],['-69'],['-73'],['-77'],['-65'],['-61'],['-67'],['-77'],['-79']
['-65'],['-61'],['-69'],['-59'],['-67'],['-61'],['-65'],['-37'],['-59'],['-69'],['-71'],['-77'],['-65'],['-61'],['-67'],['-81'],['-77']
['-69'],['-63'],['-67'],['-59'],['-63'],['-61'],['-65'],['-35'],['-59'],['-69'],['-69'],['-77'],['-65'],['-59'],['-69'],['-81'],['-75']
['-69'],['-63'],['-67'],['-57'],['-69'],['-61'],['-65'],['-35'],['-59'],['-65'],['-71'],['-77'],['-65'],['-61'],['-69'],['-81'],['-77']
['-65'],['-65'],['-69'],['-57'],['-69'],['-61'],['-65'],['-33'],['-61'],['-65'],['-71'],['-77'],['-65'],['-63'],['-69'],['-81'],['-83']
['-67'],['-61'],['-69'],['-59'],['-69'],['-61'],['-65'],['-33'],['-61'],['-65'],['-71'],['-77'],['-63'],['-61'],['-69'],['-81'],['-83']
['-67'],['-65'],['-69'],['-59'],['-63'],['-61'],['-65'],['-35'],['-59'],['-65'],['-71'],['-77'],['-63'],['-61'],['-69'],['-81'],['-83']
['-67'],['-59'],['-67'],['-59'],['-61'],['-63'],['-65'],['-35'],['-59'],['-65'],['-71'],['-77'],['-63'],['-61'],['-61'],['-81'],['-83']
['-67'],['-71'],['-67'],['-59'],['-61'],['-59'],['-63'],['-35'],['-59'],['-65'],['-73'],['-77'],['-65'],['-61'],['-67'],['-81'],['-79']
['-67'],['-59'],['-67'],['-59'],['-63'],['-59'],['-63'],['-83'],['-61'],['-65'],['-71'],['-77'],['-65'],['-63'],['-67'],['-77'],['-79']
['-67'],['-63'],['-69'],['-59'],['-59'],['-61'],['-61'],['-33'],['-61'],['-65'],['-71'],['-77'],['-65'],['-61'],['-67'],['-77'],['-77']
['-67'],['-63'],['-67'],['-59'],['-61'],['-61'],['-61'],['-37'],['-61'],['-65'],['-71'],['-77'],['-67'],['-61'],['-67'],['-71'],['-79']
['-67'],['-61'],['-65'],['-59'],['-61'],['-61'],['-63'],['-35'],['-61'],['-67'],['-67'],['-77'],['-61'],['-61'],['-63'],['-71'],['-79']
['-65'],['-65'],['-69'],['-59'],['-61'],['-63'],['-63'],['-37'],['-61'],['-67'],['-71'],['-77'],['-63'],['-61'],['-63'],['-71'],['-77']
['-67'],['-57'],['-69'],['-59'],['-63'],['-61'],['-63'],['-37'],['-59'],['-67'],['-71'],['-77'],['-63'],['-61'],['-69'],['-71'],['-77']
['-67'],['-61'],['-65'],['-59'],['-69'],['-61'],['-63'],['-35'],['-59'],['-67'],['-67'],['-77'],['-63'],['-61'],['-69'],['-71'],['-77']
['-69'],['-59'],['-71'],['-57'],['-69'],['-61'],['-65'],['-35'],['-61'],['-67'],['-69'],['-77'],['-65'],['-61'],['-63'],['-71'],['-77']
['-65'],['-61'],['-71'],['-59'],['-69'],['-61'],['-59'],['-37'],['-59'],['-67'],['-69'],['-77'],['-63'],['-59'],['-63'],['-71'],['-79']
['-67'],['-61'],['-65'],['-57'],['-59'],['-61'],['-59'],['-33'],['-61'],['-67'],['-69'],['-77'],['-65'],['-61'],['-65'],['-71'],['-79']
['-65'],['-63'],['-65'],['-59'],['-63'],['-61'],['-59'],['-37'],['-61'],['-67'],['-69'],['-77'],['-65'],['-61'],['-65'],['-71'],['-79']
['-67'],['-63'],['-65'],['-57'],['-61'],['-61'],['-57'],['-37'],['-61'],['-67'],['-69'],['-77'],['-63'],['-61'],['-61'],['-71'],['-79']
['-65'],['-59'],['-65'],['-59'],['-63'],['-63'],['-61'],['-37'],['-59'],['-67'],['-69'],['-77'],['-63'],['-61'],['-61'],['-65'],['-79']
['-65'],['-63'],['-65'],['-59'],['-63'],['-61'],['-61'],['-65'],['-59'],['-67'],['-71'],['-77'],['-65'],['-61'],['-59'],['-81'],['-79']
['-65'],['-63'],['-65'],['-59'],['-63'],['-61'],['-61'],['-37'],['-57'],['-61'],['-67'],['-77'],['-65'],['-61'],['-59'],['-81'],['-79']
['-65'],['-63'],['-65'],['-59'],['-63'],['-63'],['-61'],['-35'],['-57'],['-61'],['-67'],['-77'],['-65'],['-63'],['-63'],['-77'],['-81']
['-65'],['-63'],['-79'],['-57'],['-63'],['-59'],['-61'],['-35'],['-61'],['-67'],['-71'],['-81'],['-65'],['-61'],['-63'],['-79'],['-77']
['-65'],['-65'],['-63'],['-59'],['-71'],['-61'],['-61'],['-37'],['-57'],['-67'],['-61'],['-81'],['-65'],['-61'],['-63'],['-69'],['-77']
['-65'],['-65'],['-63'],['-59'],['-71'],['-59'],['-65'],['-37'],['-57'],['-67'],['-73'],['-81'],['-67'],['-63'],['-63'],['-69'],['-77']
